doi,title,relevance,category,explanation
10.1109/ACCESS.2024.3519423,AI-Analyst: An AI-Assisted SDLC Analysis Framework for Business Cost Optimization,NOT_RELEVANT,upper-computing,[software engineering]
10.1109/ACCESS.2024.3525061,Source Code Error Understanding Using BERT for Multi-Label Classification,RELEVANT,upper-computing,[software engineering]
10.1109/ACCESS.2024.3491856,Improving Text Emotion Detection Through Comprehensive Dataset Quality Analysis,NOT_RELEVANT,upper-computing,[affective computing]
10.1109/ACCESS.2025.3545419,The Summarization of Italian Tax-Law Decisions: The Case of the PRODIGIT Project,NOT_RELEVANT,upper-computing,[legal informatics]
10.1109/ACCESS.2024.3355547,A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions,NOT_RELEVANT,upper-computing,[cybersecurity]
10.1109/ACCESS.2024.3449252,VSEST 29110 Tool: Using ChatGPT to Evaluate the Implementation of the ISO/IEC 29110 Work Products,NOT_RELEVANT,upper-computing,[Software Implementation/Project Management]
10.1109/ACCESS.2024.3446854,Toward Robust Evaluation: A Comprehensive Taxonomy of Datasets and Metrics for Open Domain Question Answering in the Era of Large Language Models,NOT_RELEVANT,upper-computing,[Open Domain Question Answering]
10.1109/ACCESS.2024.3368915,Enhancing Bug Report Summaries Through Knowledge-Specific and Contrastive Learning Pre-Training,NOT_RELEVANT,upper-computing,[Bug Report Summarization]
10.1109/ACCESS.2024.3404349,Subjective Scoring Framework for VQA Models in Autonomous Driving,NOT_RELEVANT,upper-computing,[Visual Question Answering]
10.1109/ACCESS.2024.3449396,"Designing a Haptic Boot for Space With Prompt Engineering: Process, Insights, and Implications",NOT_RELEVANT,upper-computing,[Engineering Design Process]
